time_uk,datetime_utc,company,ticker,category_code,category,headline,rns_number,news_id,last_price,pct_change,brief,summary,retail_take,sentiment,source_url
2026-08-18 07:00:01,2026-08-18T06:00:01.000,BHP Group Limited,BHP,PGR,,BHP 2026 Economic Contribution Report Extract,0377R,17742985,3257,0.432,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/bhp-group-limited-npv-di---bhp/bhp-2026-economic-contribution-report-extract/9726109
2026-08-18 07:00:01,2026-08-18T06:00:01.000,Air China Ld,AIRC,STR,Strategy/company update,ANNOUNCEMENT ON KEY OPERATING DATA OF JULY 2026,0761R,17742984,,,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/air-china-ltd---airc/announcement-on-key-operating-data-of-july-2026/9726110
2026-08-18 07:00:01,2026-08-18T06:00:01.000,BHP Group Limited,BHP,ACS,,Notification of publication BHP 2026 Annual Report,0374R,17742982,3257,0.432,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/bhp-group-limited-npv-di---bhp/notification-of-publication-bhp-2026-annual-report/9726107
2026-08-18 07:00:01,2026-08-18T06:00:01.000,BHP Group Limited,BHP,FR,Final results,BHP FY2026 Results Announcement,0375R,17742983,3257,0.432,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/bhp-group-limited-npv-di---bhp/bhp-fy2026-results-announcement/9726108
2026-08-18 07:00:01,2026-08-18T06:00:01.000,VinaCapital Vietnam Opportunity Fd.,VOF,POS,Change of position,Transaction in Own Shares,0161R,17743016,431,-0.577,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/vinacapital-vietnam-opportunity-fund-ltd---vof/transaction-in-own-shares/9726134
2026-08-18 07:00:01,2026-08-18T06:00:01.000,Great Western Mining Corp. plc,GWMO,UPD,,Drilling Commences at Defender Tungsten Project,0159R,17743010,3.8,11.765,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/great-western-mining-corporation-cdi---gwmo/drilling-commences-at-defender-tungsten-project/9726132
2026-08-18 07:00:01,2026-08-18T06:00:01.000,HarbourVest Global Priv. Equity Ltd,HVPE,POS,Change of position,Transaction in Own Shares,0172R,17743007,3420.0,-0.87,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/harbourvest-global-private-equity-limited-a-shs--hvpe/transaction-in-own-shares/9726135
2026-08-18 07:00:01,2026-08-18T06:00:01.000,Time Out Group plc,TMO,TST,Trading statement,FY26 TRADING UPDATE AND RELATED PARTY TRANSACTION,0160R,17743006,7.25,7.407,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/time-out-group--tmo/fy26-trading-update-and-related-party-transaction/9726133
2026-08-18 07:00:01,2026-08-18T06:00:01.000,Harbour Energy PLC,HBR,POS,Change of position,Transaction in Own Shares,0130R,17743000,252.2,1.285,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/harbour-energy--hbr/transaction-in-own-shares/9726127
2026-08-18 07:00:01,2026-08-18T06:00:01.000,QinetiQ Group plc,QQ.,POS,Change of position,Transaction in Own Shares,0094R,17743001,553,-0.718,,,,,
2026-08-18 07:00:01,2026-08-18T06:00:01.000,Air China Ld,AIRC,NOG,,NOTICE OF BOARD MEETING,0762R,17743002,,,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/air-china-ltd---airc/notice-of-board-meeting/9726122
2026-08-18 07:00:01,2026-08-18T06:00:01.000,Airtel Africa PLC,AAF,POS,Change of position,Transaction in Own Shares,0154R,17743003,328.8,0.859,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/airtel-africa--aaf/transaction-in-own-shares/9726130
2026-08-18 07:00:00,2026-08-18T06:00:00.000,BlackRock Smaller Companies Trust Plc,BRSC,TVR,Total voting rights,Total Voting Rights,60814-8058,17743177,275.5,-1.077,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/prn/blackrock-smaller-companies-trust--brsc/total-voting-rights/9726426
2026-08-18 07:00:00,2026-08-18T06:00:00.000,Sunbelt Rentals Holdings Inc.,SUNB,POS,Change of position,"Sunbelt Rentals Holdings, Inc. Share Repurchase Program - Weekly Report",60817-8637,17743188,6058,-1.368,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/prn/sunbelt-rentals-holdings-inc---sunb/sunbelt-rentals-holdings-inc-share-repurcha-/9726431
2026-08-18 07:00:00,2026-08-18T06:00:00.000,BlackRock Greater Europe Investment Trust Plc,BRGE,TVR,Total voting rights,Total Voting Rights,60814-8056,17743168,612,-0.971,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/prn/blackrock-greater-europe-inv-trust--brge/total-voting-rights/9726422
2026-08-18 07:00:00,2026-08-18T06:00:00.000,Irish Continental Group PLC,ICGC,HOL,Holding(s) in company,Holding(s) in Company,1257988-en,17743114,677.5,,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/gnw/irish-continental-group-units-comp-cdi---icgc/holding-s-in-company/9726148
2026-08-18 07:00:00,2026-08-18T06:00:00.000,"Pershing Square Holdings, Ltd.",PSH,POS,Change of position,Transaction in Own Shares,0817434848,17743100,3936,-0.203,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/bzw/pershing-square-holdings-ltd--psh/transaction-in-own-shares/9726139
2026-08-18 07:00:00,2026-08-18T06:00:00.000,TotalEnergies SE,TTE,POS,Change of position,Transaction in Own Shares,0817805551,17743105,76.25,,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/bzw/totalenergies-se--tte/transaction-in-own-shares/9726145
2026-08-18 07:00:00,2026-08-18T06:00:00.000,NB Private Equity Partners Limited,NBPE,POS,Change of position,NBPE Announces Transaction in Own Shares,1258014-en,17743112,1486,-0.268,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/gnw/neuberger-private-equity-partners-limited--nbpe/nbpe-announces-transaction-in-own-shares/9726150
2026-08-18 07:00:00,2026-08-18T06:00:00.000,ICG Enterprise Trust PLC,ICGT,POS,Change of position,Transaction in Own Shares,1258012-en,17743113,1484,0.0,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/gnw/icg-enterprise-trust--icgt/transaction-in-own-shares/9726149
